jobTitle,companyName,date,class,id
Backend Engineer,Facebook,2021-9-22,1,0
Front-end Engineer, Roblox,2021-09-22,2,1
Software Engineer,Cisco,2021-09-22,3,2
Software Engineer,Roblox2,2021-09-22,4,3
Software Engineer,Google,2021-09-22,3,4
Frontend Intern,Google,2021-09-22,1,5
Software Engineer,Redhat,2021-09-22,2,6
Software Engineer,Redhat,2021-09-22,3,7
Volunteer: Google Workspace Set Up for FunkEntelechy Inc.,Catchafire,,1,8
test,ã„”,,2,9
"Software Engineer 2, SDE, ACoE",IQVIA,,1,10
"Acquisition Marketing Specialist, Google Fiber",Google,,1,11
